customer_id,month,income,expense,balance,transaction_count,volatility,default_flag
0,1,55626.93,39678.44,32189.23,45,0.23,0
0,2,67573.59,46798.15,52964.68,24,0.23,0
0,3,50523.44,36250.3,67237.82,32,0.23,0
0,4,32213.51,24339.59,75111.73,38,0.23,0
0,5,37349.96,26547.14,85914.55,20,0.23,0
0,6,38821.66,29476.0,95260.21,23,0.23,0
0,7,65334.97,50188.87,110406.31,24,0.23,0
0,8,58913.84,46098.48,123221.68,23,0.23,0
0,9,69947.96,49268.58,143901.05,23,0.23,0
0,10,81883.27,57981.01,167803.31,24,0.23,0
0,11,57377.8,47549.24,177631.86,38,0.23,0
0,12,41347.12,30479.08,188499.91,57,0.23,0
1,1,84997.89,38410.52,87592.68,31,0.34,0
1,2,44547.29,20933.15,111206.82,14,0.34,0
1,3,57242.19,26952.63,141496.38,40,0.34,0
1,4,41735.7,21793.93,161438.15,31,0.34,0
1,5,52235.88,23178.54,190495.49,36,0.34,0
1,6,81379.0,41908.64,229965.84,38,0.34,0
1,7,48479.22,25606.13,252838.93,26,0.34,0
1,8,32995.36,14829.57,271004.73,40,0.34,0
1,9,42296.25,21784.27,291516.71,18,0.34,0
1,10,87227.61,42714.56,336029.77,32,0.34,0
1,11,76275.39,39519.1,372786.05,23,0.34,0
1,12,102519.42,50420.71,424884.76,33,0.34,0
2,1,11428.45,4845.31,17840.31,30,0.08,0
2,2,8951.49,3995.51,22796.29,24,0.08,0
2,3,9385.71,4071.55,28110.45,21,0.08,0
2,4,10261.45,4598.95,33772.95,35,0.08,0
2,5,11724.93,5198.49,40299.39,24,0.08,0
2,6,11156.34,4965.82,46489.91,43,0.08,0
2,7,10858.6,4836.46,52512.05,22,0.08,0
2,8,10414.94,4064.46,58862.54,42,0.08,0
2,9,10446.42,4622.39,64686.57,30,0.08,0
2,10,10497.0,4260.65,70922.92,26,0.08,0
2,11,10448.91,4172.31,77199.52,28,0.08,0
2,12,11060.05,4581.74,83677.83,20,0.08,0
3,1,24874.09,21087.5,23857.89,29,0.34,1
3,2,73522.91,65168.19,32212.61,25,0.34,1
3,3,66429.21,54669.52,43972.3,33,0.34,1
3,4,79238.95,66575.69,56635.57,29,0.34,1
3,5,98567.4,82738.08,72464.89,37,0.34,1
3,6,51759.19,47066.33,77157.75,43,0.34,1
3,7,85185.17,69281.04,93061.88,51,0.34,1
3,8,59182.34,49142.0,103102.23,39,0.34,1
3,9,73458.01,80864.19,104007.54,24,0.34,1
3,10,33734.54,36903.39,100245.59,30,0.34,1
3,11,48928.62,56557.77,95667.52,45,0.34,1
3,12,52206.28,60212.9,83922.99,26,0.34,1
4,1,45622.22,34985.99,41822.26,32,0.22,0
4,2,72734.42,56920.4,57636.27,42,0.22,0
4,3,50521.74,44097.02,64060.99,32,0.22,0
4,4,66869.64,55607.51,75323.12,32,0.22,0
4,5,73617.8,53684.85,95256.07,32,0.22,0
4,6,52579.98,38308.12,109527.93,31,0.22,0
4,7,45810.94,38464.92,116873.95,18,0.22,0
